Demand Balances by Primary Good
scenario,region,input,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,MiscCrop,NonFoodDemand_Crops,6.31533,8.01419,10.0904,10.5151,10.9081,11.2537,11.5331,11.7465,11.8966,11.9841,12.0015,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OilCrop,FeedCrops,2.05004,8.27616,9.36218,8.38375,8.91021,9.48213,10.0626,10.6111,11.1273,11.6893,12.2809,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OilCrop,FoodDemand_Crops,2.45437,3.40927,3.56025,3.71251,3.84488,4.00738,4.14858,4.23018,4.28912,4.32561,4.33686,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OilCrop,NonFoodDemand_Crops,2.22791,4.47679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OilCrop,regional biomassOil,0.0,0.0,12.5069,13.2419,12.4972,14.6772,16.6261,18.5846,20.6245,21.925,22.2017,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OtherGrain,FeedCrops,0.174804,1.46377,1.64668,1.45043,1.51813,1.61019,1.70302,1.78288,1.85646,1.92329,1.97724,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OtherGrain,FoodDemand_Crops,0.246599,0.560803,0.410804,0.428373,0.443646,0.462397,0.478689,0.488105,0.494906,0.499116,0.500414,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,OtherGrain,NonFoodDemand_Crops,0.98364,1.53185,1.97485,2.05796,2.13488,2.20252,2.25721,2.29897,2.32835,2.34547,2.34888,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,PalmFruit,FeedCrops,0.0347285,0.0359995,0.0439001,0.0372452,0.0388266,0.0408913,0.0429444,0.0457938,0.0483697,0.0510106,0.0537042,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,PalmFruit,FoodDemand_Crops,0.514552,2.90183,3.07479,3.20629,3.3206,3.46095,3.5829,3.65337,3.70427,3.73579,3.7455,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,PalmFruit,NonFoodDemand_Crops,0.267651,0.759246,1.35098,1.40784,1.46046,1.50673,1.54414,1.57271,1.59281,1.60452,1.60685,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Pasture,Pasture_FodderGrass,283.395,437.907,464.748,484.391,496.657,523.066,546.193,562.948,576.256,589.289,601.518,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Rice,FoodDemand_Crops,9.08201,10.1282,9.92622,10.3507,10.7198,11.1729,11.5665,11.794,11.9584,12.0601,12.0914,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Rice,NonFoodDemand_Crops,1.50391,2.60331,2.54781,2.65503,2.75427,2.84153,2.91209,2.96596,3.00387,3.02595,3.03036,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Root_Tuber,FeedCrops,6.44319,10.5925,9.83492,8.52675,8.95739,9.50863,10.0456,10.3372,10.6021,10.8467,11.066,0.0,0.0,0.0,Mt,
