Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,gas (steam/CT),water withdrawals,0.00221138,0.140544,0.324561,0.3079256,0.29602428,0.27443936999999996,0.23735529,0.10275730000000001,0.02222574,0.0079021619,0.00299511307,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.0045416,0.0067480100000000005,0.01530978,0.03631128,0.12689256,0.3772504,0.65258981,0.6920438800000001,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.30752E-9,2.10793E-7,1.73112E-6,7.30997E-6,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0973306,0.3698441,0.8290228,1.2190669,1.53025483,1.124436606,0.5146837425,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,refined liquids (steam/CT),water withdrawals,0.112361,0.265781,0.365626,0.500193,0.5040614,0.5653306,0.5867958999999999,0.40754060000000003,0.14989845,0.04404723,0.010989483,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,CSP,water withdrawals,0.0,0.0,0.0,5.0613E-5,1.6356299999999998E-4,3.30655E-4,5.40118E-4,0.001056457,0.001638415,0.00243537,0.00332718,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00157864,0.00755424,0.036676440000000005,0.07701734,0.15084454,0.26158954,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124668,0.445902,0.9856199999999999,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,PV,water withdrawals,0.0,0.0,2.592E-7,3.83964E-5,9.84179E-5,1.366282E-4,1.768282E-4,2.549081E-4,3.317216E-4,3.952134E-4,4.4548090000000003E-4,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.42096E-7,9.25092E-7,2.7571920000000002E-6,5.853482E-6,1.5070722E-5,2.5921722E-5,4.2893226E-5,6.552503E-5,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00891536,0.022806800000000002,0.06301892,0.10459664999999999,0.14900106,0.13443741,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,biomass (conv),water withdrawals,0.0461794,0.053686,0.086645,0.08176749999999999,0.1338877,0.1852476,0.2475366,0.4192057,0.51105421,0.47630790999999995,0.20718404699999998,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00164001,0.00431149,0.004506868,0.0037337439999999998,0.002562649,0.0016580481,0.0,0.0,0.0,km^3,
