Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0108225,0.0281123,0.6372324,1.1869742,1.7572218,2.2331709,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,biomass (conv),water withdrawals,0.0461794,0.053686,0.086645,0.08176749999999999,0.1331367,0.1739362,0.2272978,0.2534477,0.24473790999999998,0.18279716000000001,0.076151105,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,9.555E-5,2.5338439999999997E-4,0.0034036759,0.0067959075,0.0118263799,0.0185594909,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00149307,0.00430294,0.00495899,0.005281596999999999,0.005053262,0.0040122479999999995,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,9.5803E-4,0.002438249,0.027452408,0.053233151,0.08906720500000001,0.134616311,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,coal (conv pul),water withdrawals,9.85147E-4,0.0508691,0.0711709,0.09810930000000001,0.11435119999999999,0.12498870000000001,0.14434239999999998,0.12132287,0.10513352000000001,0.080546454,0.051101680999999996,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0141697,0.034878599999999996,0.0978428,0.1496086,0.2095846,0.2754033,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,gas (CC),water withdrawals,0.0,0.0,0.0,0.00599885,0.01281365,0.01837079,0.03086275,0.03395734,0.03669923,0.03917322,0.04044836,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,gas (steam/CT),water withdrawals,0.078209,0.255194,0.350651,0.40141699999999997,0.4327752,0.4328034,0.43429070000000003,0.3197471599999999,0.25924413,0.19446112,0.133480965,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,geothermal,water withdrawals,0.00350078,0.0113765,0.014238,0.0277979,0.0399252,0.0461305,0.046268319999999995,0.04634164,0.04746566,0.046969199999999996,0.046669989999999995,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.363314,0.787406,1.7640630000000002,2.32346,2.948972,3.544722,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.237882,0.331111,0.54973,0.39619669999999996,0.3715242,0.3282144,0.26264129999999997,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,refined liquids (steam/CT),water withdrawals,0.763329,1.39452,1.40273,1.4353019999999999,1.452228,1.3865062,1.2890422000000001,0.91515885,0.70747655,0.49190146,0.31265198,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,CSP,water withdrawals,0.0,0.0,0.0,1.04536E-5,3.99138E-5,6.43737E-5,1.945847E-4,4.274527E-4,7.380757E-4,0.0011682271,0.0017352538999999998,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,8.13106E-5,8.836736E-4,0.0029135136,0.0057798236,0.0101267036,0.0164128136,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101588,0.0329016,0.07086,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,PV,water withdrawals,0.0,0.0,0.0,1.2493E-6,3.8267E-6,5.48931E-6,1.2797600000000001E-5,2.41723E-5,3.77342E-5,5.449839999999999E-5,7.49521E-5,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,1.11971E-8,3.4436E-8,4.93962E-8,1.153071E-7,2.171581E-7,3.393881E-7,4.89805E-7,6.754741000000001E-7,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,6.34143E-5,7.298830000000001E-4,0.002058069,0.0036533551,0.0055882433,0.0072241655,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,3.1966E-4,0.0013973619999999999,0.002854337,0.004149562,0.004594047,0.0033560550999999997,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,5.83328E-4,0.008837048,0.025683825,0.042580186,0.056487934999999996,0.055302149,0.0,0.0,0.0,km^3,
