Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,CSP,water withdrawals,0.0,0.0,0.0,1.04536E-5,3.97843E-5,9.08527E-5,1.790755E-4,3.067625E-4,4.742275E-4,6.756059E-4,8.975462E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.69764E-4,7.13382E-4,0.001826272,0.003371002,0.005458572,0.008098372,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558064,0.016936899999999998,0.033868800000000004,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,PV,water withdrawals,0.0,0.0,0.0,1.2493E-6,3.81537E-6,7.28664E-6,1.2238300000000001E-5,1.847561E-5,2.578822E-5,3.320279E-5,4.034899E-5,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,1.11971E-8,3.43338E-8,6.556839999999999E-8,1.1022449999999998E-7,1.6606589999999998E-7,2.319387E-7,2.9835629999999995E-7,3.6294919999999996E-7,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,7.82448E-4,0.0017830749999999999,0.00308537,0.004498031,0.0061350599999999995,0.008004288,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,biomass (conv),water withdrawals,0.00597272,0.0109645,0.0108754,0.011662869999999999,0.01509023,0.01754019,0.02167193,0.0259514,0.028754349999999998,0.031842159999999994,0.03584688,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00301362,0.007440840000000001,0.01322335,0.0198016,0.02727379,0.035439570000000004,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,coal (conv pul),water withdrawals,0.0849656,0.0565746,0.0860194,0.13149729999999998,0.1790429,0.22043770000000001,0.269111,0.3218257,0.3721336,0.423497,0.4758259,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,gas (CC),water withdrawals,0.00342047,0.0281227,0.0304305,0.0513876,0.07476830000000001,0.1016746,0.1388927,0.1871265,0.2402543,0.299106,0.36078587,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,gas (steam/CT),water withdrawals,0.0874102,0.0736442,0.157961,0.1869173,0.2285528,0.2669291,0.3060401,0.3352298000000001,0.3488559,0.35395879999999996,0.35354840000000004,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.00173083,0.00484534,0.00923174,0.015371069999999999,0.02264966,0.0299974,0.0359434,0.04067793,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0203965,0.036453189999999996,0.06284748,0.09283223,0.119772,0.14998688,0.17984862000000001,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Colombia,electricity,refined liquids (steam/CT),water withdrawals,0.0086257,0.0025941,0.0114251,0.01356739,0.0171307,0.01995868,0.02210633,0.02256526,0.022773264,0.023130972000000003,0.023532316,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,CSP,water withdrawals,0.0,0.0,0.0,6.15865E-6,1.882305E-5,5.031425E-5,1.0937794999999999E-4,2.0175154999999998E-4,3.3897555E-4,5.072958999999999E-4,7.065745000000001E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.04691E-4,4.68682E-4,0.001274086,0.002541326,0.004268736,0.006540786,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0219466,0.0371671,0.060038400000000006,0.0905761,0.1283211,0.1688696,0.2091228,0.24936629999999999,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,Gen_II_LWR,water withdrawals,0.0814876,0.299787,0.163114,0.15074,0.14367,0.133357,0.119245,0.101531,0.0815566,0.0615818,0.0438678,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,PV,water withdrawals,2.16E-8,1.944E-7,6.69599E-7,1.1753399E-5,2.8438199E-5,6.0671199E-5,1.1058539899999999E-4,1.78505099E-4,2.679466E-4,3.640068E-4,4.70469E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,9.93467E-8,2.497967E-7,5.398697E-7,9.901476999999999E-7,1.5987287E-6,2.4125127E-6,3.28031E-6,4.26692E-6,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.002803,0.00633619,0.01085416,0.01637008,0.022484940000000002,0.02941674,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,biomass (conv),water withdrawals,0.0,0.0663967,0.0563042,0.0309571,0.0414235,0.0540142,0.0705692,0.08798542,0.10286753000000001,0.11737859,0.1344958,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00810724,0.01942369,0.03379093,0.05166071,0.07151911,0.09341642,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,coal (conv pul),water withdrawals,0.178133,0.757421,0.745529,0.8493930000000001,0.931092,1.009962,1.088902,1.1621329999999999,1.2361119999999999,1.309313,1.393717,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,gas (CC),water withdrawals,0.0522832,0.60737,0.60748,0.816703,0.969413,1.156825,1.361879,1.5714029999999999,1.784179,1.983671,2.1805250000000003,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,gas (steam/CT),water withdrawals,0.152268,0.181235,1.1822,1.0073813,0.9755264,0.9339900000000001,0.8721271,0.7899871999999999,0.6946500999999999,0.6012404999999998,0.5228323,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,geothermal,water withdrawals,0.0222832,0.0317419,0.0287803,0.043064000000000005,0.0536007,0.0667917,0.08127419999999999,0.0958406,0.08898900000000001,0.0956019,0.1050742,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.268302,0.560866,0.9223108,1.3057669,1.7312761,2.0961261,2.4413858,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Mexico,electricity,refined liquids (steam/CT),water withdrawals,1.41248,1.51997,0.99865,0.8072360000000001,0.809421,0.801443,0.7513564,0.6776554000000001,0.6159498,0.5564347000000001,0.5049395,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",South America_Northern,electricity,CSP,water withdrawals,0.0,0.0,0.0,2.22238E-5,2.06738E-5,1.115358E-4,3.226818E-4,5.939348E-4,7.958208E-4,9.484869999999999E-4,0.001084303,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",South America_Northern,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,2.96952E-4,0.001607352,0.004400942,0.008902562,0.015791641999999998,0.023204521999999998,0.0,0.0,0.0,km^3,
